pid	ppid	status_name	stat_comm	user	kthread	state	policy	priority	nice	threads	rss_kb	vsz_kb	pss_kb	socket_count	fd_devices	exe	cmdline	cgroup
227883	2	kworker/13:0-events	kworker/13:0-events	root	1		TS	19	0	1	0	0						
233951	2	kworker/12:0-pm	kworker/12:0-pm	root	1		TS	19	0	1	0	0						
236420	2	kworker/u39:0-events_unbound	kworker/u39:0-events_unbound	root	1		TS	19	0	1	0	0						
316096	2	kworker/13:1-events	kworker/13:1-events	root	1		TS	19	0	1	0	0						
317270	2	kworker/12:1-events	kworker/12:1-events	root	1		TS	19	0	1	0	0						
324326	2	kworker/15:1-rcu_par_gp	kworker/15:1-rcu_par_gp	root	1		TS	19	0	1	0	0						
325866	2	kworker/u39:1-events_unbound	kworker/u39:1-events_unbound	root	1		TS	19	0	1	0	0						
325988	2	kworker/u39:2-events_power_efficient	kworker/u39:2-events_power_efficient	root	1		TS	19	0	1	0	0						
340879	1131	systemd-userwork:		root	0		TS	19	0	1	6496	16332		4			systemd-userwork: waiting...	
342090	1131	systemd-userwork:		root	0		TS	19	0	1	6496	16332		4			systemd-userwork: waiting...	
342091	1131	systemd-userwork:		root	0		TS	19	0	1	6492	16332		4			systemd-userwork: waiting...	
347047	1422	gsl_hab_server		root	0		TS	19	0	3	3828	159936				/usr/bin/gsl_hab_server	/usr/bin/gsl_hab_server	
